Total Household Income,Region,Total Food Expenditure,Main Source of Income,Agricultural Household indicator,Bread and Cereals Expenditure,Total Rice Expenditure,Meat Expenditure,Total Fish and  marine products Expenditure,Fruit Expenditure,Vegetables Expenditure,Restaurant and hotels Expenditure,Alcoholic Beverages Expenditure,Tobacco Expenditure,"Clothing, Footwear and Other Wear Expenditure",Housing and water Expenditure,Imputed House Rental Value,Medical Care Expenditure,Transportation Expenditure,Communication Expenditure,Education Expenditure,Miscellaneous Goods and Services Expenditure,Special Occasions Expenditure,Crop Farming and Gardening expenses,Total Income from Entrepreneurial Acitivites,Household Head Sex,Household Head Age,Household Head Marital Status,Household Head Highest Grade Completed,Household Head Job or Business Indicator,Household Head Occupation,Household Head Class of Worker,Type of Household,Total Number of Family members,Members with age less than 5 year old,Members with age 5 - 17 years old,Total number of family members employed,Type of Building/House,Type of Roof,Type of Walls,House Floor Area,House Age,Number of bedrooms,Tenure Status,Toilet Facilities,Electricity,Main Source of Water Supply,Number of Television,Number of CD/VCD/DVD,Number of Component/Stereo set,Number of Refrigerator/Freezer,Number of Washing Machine,Number of Airconditioner,"Number of Car, Jeep, Van",Number of Landline/wireless telephones,Number of Cellular phone,Number of Personal Computer,Number of Stove with Oven/Gas Range,Number of Motorized Banca,Number of Motorcycle/Tricycle
384386,NCR,152593,Wage/Salaries,0,25248,19005,8370,16532,1790,4676,75830,8346,7602,2900,69024,24000,303,32664,3480,0,19032,9500,0,35000,Male,64,Widowed,High School Graduate,No Job/Business,,,Extended Family,5,0,0,3,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,20,20,1,Rent-free house and lot without consent of owner,"Water-sealed, sewer septic tank, used exclusively by household",1,Peddler,1,1,0,0,1,0,0,0,2,0,0,0,1
100800,NCR,41980,Wage/Salaries,0,17120,13032,1170,2446,120,1498,9860,910,0,450,36426,24000,0,6204,1002,0,5196,1000,0,0,Female,64,Married,Elementary Graduate,No Job/Business,,,Extended Family,4,0,1,1,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Quite Strong,10,23,0,Rent-free house and lot without consent of owner,"Water-sealed, sewer septic tank, used exclusively by household",0,Peddler,0,0,0,0,0,0,0,0,1,0,0,0,0
225600,NCR,122215,Wage/Salaries,0,38288,28960,23372,10588,3545,4638,21400,0,0,2075,71400,30000,580,27954,2262,1250,9690,1500,0,26600,Male,41,Married,Elementary Graduate,With Job/Business,Carpenters and joiners,Worked for private establishment,Single Family,9,0,5,1,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,20,17,1,Rent-free house and lot without consent of owner,"Water-sealed, sewer septic tank, used exclusively by household",1,Peddler,1,1,0,0,1,0,0,0,3,0,0,0,0
113000,NCR,40516,Enterpreneurial Activities,0,13115,7964,5130,3692,520,2465,8300,0,0,100,53010,24000,54,6204,0,550,4224,2000,0,82200,Female,67,Widowed,Elementary Graduate,With Job/Business,General managers/managing proprietors of restaurants and hotels,Self-employed wihout any employee,Extended Family,2,0,1,0,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Quite Strong,10,19,0,Rent-free house and lot without consent of owner,"Water-sealed, sewer septic tank, used exclusively by household",1,Peddler,1,1,0,0,0,0,0,0,0,0,0,0,0
153700,NCR,71052,Wage/Salaries,0,19194,14118,2880,2500,120,1450,32170,0,0,1250,34866,24000,14635,7266,0,100,4482,4000,0,0,Male,41,Married,Second Year High School,No Job/Business,,,Single Family,5,1,2,1,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,15,20,0,Rent-free house and lot without consent of owner,"Water-sealed, sewer septic tank, used exclusively by household",0,Peddler,0,0,0,0,0,0,0,0,0,0,0,0,0
238040,NCR,89446,Wage/Salaries,0,16755,12929,12341,16200,480,4975,24245,720,3620,1600,70650,42000,1035,29280,5904,0,25644,3100,0,0,Male,60,Married,Third Year High School,No Job/Business,,,Single Family,3,0,0,1,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,20,20,1,Rent-free house and lot with consent of owner,"Water-sealed, sewer septic tank, used exclusively by household",1,"Own use, faucet, community water system",1,1,0,1,1,0,0,0,2,2,1,0,0
500283,NCR,238592,Wage/Salaries,0,37780,29413,39488,20204,1930,5003,80280,7976,12670,14352,112416,72000,6631,30306,26658,9350,42822,1047,0,0,Female,71,Widowed,First Year College,No Job/Business,,,Extended Family,11,2,3,3,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,84,27,3,"Own house, rent-free lot with consent of owner","Water-sealed, sewer septic tank, used exclusively by household",1,"Own use, faucet, community water system",1,1,0,1,1,0,0,0,4,0,0,0,1
741564,NCR,263778,Enterpreneurial Activities,0,31940,24960,51525,20455,2404,8490,118740,5130,0,17292,116598,60000,11294,25002,28800,92000,45312,14000,0,572564,Male,51,Married,Transport Services Programs,With Job/Business,Market and sidewalk stall vendors,Self-employed wihout any employee,Single Family,5,0,1,1,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,50,30,2,Own or owner-like possession of house and lot,"Water-sealed, sewer septic tank, used exclusively by household",1,"Own use, faucet, community water system",2,1,0,1,1,0,0,1,6,3,1,0,1
254079,NCR,97488,Wage/Salaries,0,7541,5226,15807,23083,440,7800,26780,636,0,85,75480,48000,8133,17190,3618,0,12216,2900,0,0,Male,60,Married,High School Graduate,No Job/Business,,,Extended Family,4,0,0,1,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,50,55,2,Own or owner-like possession of house and lot,"Water-sealed, sewer septic tank, used exclusively by household",1,"Own use, faucet, community water system",1,1,0,1,1,0,0,0,2,0,0,0,0
184943,NCR,113580,Wage/Salaries,0,19001,12670,19429,14728,140,1760,44720,2700,11946,2760,49770,36000,0,8424,1524,675,6828,2650,0,0,Male,35,Married,Elementary Graduate,With Job/Business,Building construction laborers,Worked for private establishment,Single Family,5,0,3,1,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,50,55,2,Rent-free house and lot with consent of owner,"Water-sealed, sewer septic tank, used exclusively by household",1,"Own use, faucet, community water system",1,1,0,0,0,0,0,2,0,0,0,0,0
732686,NCR,229696,Wage/Salaries,0,25973,17818,41005,22255,1465,6545,95350,6906,14118,20650,147798,90000,5316,47460,46776,2200,64596,23000,0,54000,Male,49,Married,Security Services Programs,With Job/Business,Police officers,Worked for government/government corporation,Extended Family,10,1,4,2,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,48,35,2,Own or owner-like possession of house and lot,"Water-sealed, sewer septic tank, used exclusively by household",1,"Own use, faucet, community water system",2,1,0,1,1,1,1,1,6,4,1,0,2
264116,NCR,76610,Wage/Salaries,0,14090,11410,12632,17596,430,5235,10660,3178,13575,0,60228,36000,48,3696,2184,0,4416,3000,0,13500,Female,76,Married,Third Year High School,No Job/Business,,,Extended Family,6,0,1,2,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,25,35,1,Own or owner-like possession of house and lot,"Water-sealed, sewer septic tank, used exclusively by household",1,"Own use, faucet, community water system",1,0,0,0,1,0,0,0,3,0,0,0,0
191760,NCR,101529,Wage/Salaries,0,21406,14560,22578,7886,240,1085,38150,864,4525,1725,49200,30000,0,9888,1200,1570,11160,2000,0,20956,Male,33,Married,Second Year High School,With Job/Business,Building construction laborers,Worked for private establishment,Single Family,6,0,4,1,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Quite Strong,30,20,1,Rent-free house and lot with consent of owner,"Water-sealed, sewer septic tank, used exclusively by household",1,"Shared, faucet, community water system",1,1,0,0,0,0,0,0,2,0,0,0,0
444446,NCR,218646,Wage/Salaries,0,31012,26144,20380,15126,875,2893,129140,1128,6878,10510,68040,42000,3790,19650,2424,2770,16692,19469,0,0,Male,60,Married,High School Graduate,With Job/Business,Building caretakers,Worked for private establishment,Extended Family,10,1,4,4,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,69,50,3,Own or owner-like possession of house and lot,"Water-sealed, sewer septic tank, used exclusively by household",1,"Own use, faucet, community water system",1,1,0,0,0,0,0,0,3,0,0,0,0
316579,NCR,181149,Wage/Salaries,0,21803,15385,33826,23418,1020,4542,66080,840,5430,2805,63840,42000,0,2514,1728,100,5898,5469,0,18100,Male,53,Married,Second Year High School,With Job/Business,General managers/managing proprietors in construction,Self-employed wihout any employee,Extended Family,8,2,1,3,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,69,50,3,Own or owner-like possession of house and lot,"Water-sealed, sewer septic tank, used exclusively by household",1,"Own use, faucet, community water system",1,1,0,0,1,0,0,0,3,0,0,0,0
880669,NCR,294738,Wage/Salaries,0,53610,37024,42830,24996,2160,5702,120280,7548,7602,17945,81492,45000,364,39618,21414,2070,53436,21769,0,0,Male,66,Married,High School Graduate,No Job/Business,,,Single Family,8,0,2,4,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,69,50,3,Own or owner-like possession of house and lot,"Water-sealed, sewer septic tank, used exclusively by household",1,"Own use, faucet, community water system",1,1,0,1,1,0,0,1,4,2,0,0,0
464241,NCR,218709,Wage/Salaries,0,49111,35295,28306,9523,970,6949,94180,2076,7240,5500,88140,51000,3726,21348,5448,10400,17346,8737,0,183946,Male,42,Married,High School Graduate,With Job/Business,Cooks,Worked for private establishment,Extended Family,10,0,5,2,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,60,25,2,Own or owner-like possession of house and lot,"Water-sealed, sewer septic tank, used exclusively by household",1,"Own use, faucet, community water system",1,1,0,1,1,0,0,0,5,1,0,0,0
269480,NCR,128204,Enterpreneurial Activities,0,23728,18990,27964,10090,830,3037,39040,4050,9412,4975,61920,0,4624,9744,5862,2235,11424,7400,0,206152,Male,31,Married,High School Graduate,With Job/Business,Athletes and related workers,Worked for private establishment,Single Family,5,0,2,2,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Quite Strong,18,70,0,Rent house/room including lot,"Water-sealed, sewer septic tank, used exclusively by household",1,"Shared, faucet, community water system",1,1,0,1,1,0,0,0,3,1,0,0,0
204672,NCR,96128,Other sources of Income,0,12196,8180,9586,16220,210,5616,43160,0,0,870,93030,72000,0,192,72,0,3846,3500,0,56726,Female,86,Widowed,Teacher Training and Education Sciences Programs,With Job/Business,General managers/managing proprietors in wholesale and retail trade,Self-employed wihout any employee,Extended Family,3,0,0,0,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Quite Strong,60,55,1,Own or owner-like possession of house and lot,"Water-sealed, sewer septic tank, used exclusively by household",1,"Own use, faucet, community water system",1,0,0,0,1,0,0,0,1,0,0,0,0
420498,NCR,146805,Enterpreneurial Activities,0,23993,17512,31570,11964,1560,4093,52100,0,0,5860,80682,60000,3146,11610,4602,1445,10284,3800,0,333198,Male,26,Married,Second Year College,With Job/Business,General managers/managing proprietors in wholesale and retail trade,Self-employed wihout any employee,Single Family,3,0,1,0,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,45,12,1,Own or owner-like possession of house and lot,"Water-sealed, sewer septic tank, used exclusively by household",1,"Own use, faucet, community water system",1,1,0,1,1,0,0,0,3,1,0,0,0
385062,NCR,112303,Wage/Salaries,0,9124,4870,15908,1588,240,500,67660,2239,9774,7735,107220,84000,0,11892,8760,2300,11730,9000,0,108000,Male,40,Divorced/Separated,Elementary Graduate,With Job/Business,General managers/managing proprietors of business services,Self-employed wihout any employee,Single Family,2,0,3,1,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,90,40,1,Own or owner-like possession of house and lot,"Water-sealed, sewer septic tank, used exclusively by household",1,"Own use, faucet, community water system",1,1,0,1,1,0,0,0,2,1,1,0,0
480000,NCR,122971,Other sources of Income,0,16352,13920,9452,19548,825,6375,57390,648,8145,5370,196272,132000,269,4590,16296,79000,9168,6700,0,0,Female,27,Single,Law Programs,No Job/Business,,,Single Family,2,0,0,0,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,90,40,2,Own or owner-like possession of house and lot,"Water-sealed, sewer septic tank, used exclusively by household",1,"Own use, faucet, community water system",1,1,1,1,1,0,0,0,2,1,1,0,1
386500,NCR,117459,Wage/Salaries,0,13724,9136,24360,11878,400,2530,45540,0,0,4660,171450,132000,1943,8820,27678,0,26052,3700,0,0,Female,74,Widowed,Elementary Graduate,With Job/Business,Child care workers,Worked for private household,Extended Family,3,0,0,2,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,105,11,2,Own or owner-like possession of house and lot,"Water-sealed, sewer septic tank, used exclusively by household",1,"Own use, faucet, community water system",1,1,0,1,1,0,0,0,3,2,1,0,0
306448,NCR,142017,Wage/Salaries,0,16872,13756,15534,18850,780,2500,74030,0,0,5010,78012,54000,1502,16830,6834,0,17652,4000,0,56000,Female,59,Married,First Year High School,With Job/Business,Child care workers,Worked for private household,Single Family,4,0,0,2,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Quite Strong,80,40,3,Own or owner-like possession of house and lot,"Water-sealed, sewer septic tank, used exclusively by household",1,"Own use, faucet, community water system",1,1,0,0,1,0,0,0,1,1,0,0,0
192016,NCR,124291,Wage/Salaries,0,28950,11152,20136,7976,302,1915,37300,1308,2715,3550,35064,18000,1563,10188,2694,840,11478,7800,0,0,Female,62,Widowed,Elementary Graduate,No Job/Business,,,Extended Family,6,1,2,1,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Quite Strong,10,39,0,"Own house, rent-free lot with consent of owner","Water-sealed, sewer septic tank, shared with other household",1,"Shared, faucet, community water system",1,1,0,0,0,0,0,0,2,0,0,0,1
316646,NCR,167833,Wage/Salaries,0,39000,11915,27201,11250,473,3292,67640,5356,14480,6095,33978,0,3359,11574,1746,795,19644,8130,0,91156,Male,50,Married,Elementary Graduate,With Job/Business,"General managers/managing proprietors in transportation, storage and communications",Self-employed wihout any employee,Extended Family,5,0,1,3,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Quite Strong,10,45,0,Rent house/room including lot,"Water-sealed, sewer septic tank, shared with other household",1,"Shared, faucet, community water system",1,1,0,0,0,0,0,0,3,0,0,0,0
551982,NCR,214203,Wage/Salaries,0,21228,12326,48055,17536,660,5140,93010,432,0,6670,135948,96000,3277,20040,16602,1070,54618,6250,0,0,Female,70,Widowed,Third Year College,No Job/Business,,,Extended Family,5,0,2,2,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,90,65,4,Own or owner-like possession of house and lot,"Water-sealed, sewer septic tank, used exclusively by household",1,"Own use, faucet, community water system",2,1,0,1,1,0,0,0,3,2,0,0,0
654682,NCR,310591,Wage/Salaries,0,63092,39231,58602,19244,4435,6817,124420,2114,10860,13745,114306,30000,3671,53376,11598,4760,33162,7700,0,61482,Male,61,Married,Second Year High School,With Job/Business,"Car, taxi and van drivers",Worked for private establishment,Extended Family,14,0,7,4,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Quite Strong,40,35,4,Rent house/room including lot,"Water-sealed, sewer septic tank, used exclusively by household",1,"Own use, faucet, community water system",1,1,0,0,1,0,0,0,4,0,0,0,1
146600,NCR,66854,Wage/Salaries,0,23326,16652,11700,7468,1690,7044,4300,0,1810,1400,41100,9000,0,18,2640,12000,5820,2000,0,0,Female,51,Married,High School Graduate,With Job/Business,"Helpers and cleaners in offices, hotels and other establishments",Worked for private establishment,Single Family,3,0,0,2,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,15,17,1,Rent-free house and lot with consent of owner,"Water-sealed, sewer septic tank, used exclusively by household",1,"Own use, faucet, community water system",1,1,0,1,1,0,0,0,1,0,0,0,0
122255,NCR,74697,Wage/Salaries,0,25330,17834,6350,7412,930,2324,21970,0,0,600,28800,18000,30,4716,480,0,12102,1500,0,0,Male,56,Married,Grade 4,With Job/Business,Protective services workers n. e. c.,Worked for government/government corporation,Extended Family,5,2,2,1,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,10,17,1,Own or owner-like possession of house and lot,"Water-sealed, sewer septic tank, used exclusively by household",1,"Own use, faucet, community water system",1,1,0,0,0,0,0,0,0,0,0,0,0
1124712,NCR,313889,Wage/Salaries,0,27472,12012,29820,11197,5550,5916,195965,2736,2730,18479,115452,0,13968,58290,35052,8000,102690,49200,0,0,Male,60,Married,Business and Administration Programs,No Job/Business,,,Single Family,5,0,0,4,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,70,32,2,Rent house/room including lot,"Water-sealed, sewer septic tank, used exclusively by household",1,"Own use, faucet, community water system",2,1,1,1,1,1,0,0,5,2,0,0,1
283390,NCR,125700,Enterpreneurial Activities,0,31687,18978,18678,6323,1665,5449,22650,0,0,6260,89418,0,8684,3828,2022,910,28680,1750,0,173340,Female,31,Divorced/Separated,Third Year High School,With Job/Business,"General managers/managing proprietors in transportation, storage and communications",Self-employed wihout any employee,Extended Family,6,2,2,0,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,30,14,1,Rent house/room including lot,"Water-sealed, sewer septic tank, shared with other household",1,"Own use, faucet, community water system",1,0,0,0,1,1,0,0,1,0,0,0,1
829160,NCR,73941,Other sources of Income,0,11644,3510,1226,1276,4105,540,48100,0,0,4750,226164,210000,297729,22320,11988,0,113868,26000,0,0,Female,42,Single,Physical Sciences Programs,With Job/Business,Chemists,Worked for government/government corporation,Single Family,1,0,0,1,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,60,30,1,Own or owner-like possession of house and lot,"Water-sealed, sewer septic tank, used exclusively by household",1,"Own use, faucet, community water system",1,1,0,1,1,1,0,0,1,1,0,0,0
418650,NCR,185867,Wage/Salaries,0,27853,14040,25982,11585,3262,5997,83005,2678,3620,6724,48516,24000,2991,21294,6240,1420,32142,9850,0,65778,Male,51,Married,High School Graduate,With Job/Business,"General managers/managing proprietors in transportation, storage and communications",Self-employed wihout any employee,Extended Family,7,0,1,3,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,35,45,1,Own or owner-like possession of house and lot,"Water-sealed, sewer septic tank, used exclusively by household",1,"Shared, faucet, community water system",1,1,0,0,1,0,0,0,3,0,0,0,0
655596,NCR,218507,Other sources of Income,0,33171,17920,12003,3729,1400,420,137450,477,5430,10074,154890,84000,19168,17910,15390,61600,42300,14350,0,19354,Male,78,Widowed,Second Year College,No Job/Business,,,Extended Family,5,0,1,1,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,70,9,3,Own or owner-like possession of house and lot,"Water-sealed, sewer septic tank, used exclusively by household",1,"Own use, faucet, community water system",2,1,1,1,1,1,0,0,3,2,0,0,0
123780,NCR,34462,Enterpreneurial Activities,0,4868,3530,1560,1440,1700,1720,17180,0,0,650,56400,36000,6638,4680,0,0,5574,3700,0,87780,Male,73,Married,Grade 4,No Job/Business,,,Single Family,2,0,0,0,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Quite Strong,24,32,1,Own or owner-like possession of house and lot,"Water-sealed, sewer septic tank, used exclusively by household",1,"Own use, faucet, community water system",1,0,0,1,1,0,0,0,0,0,0,0,0
433136,NCR,168717,Other sources of Income,0,28935,12336,27963,13551,2275,5325,50515,12868,0,6470,116148,0,15233,10530,5598,595,34434,6750,0,0,Female,67,Married,First Year College,No Job/Business,,,Extended Family,8,1,2,1,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,30,37,2,Rent house/room including lot,"Water-sealed, sewer septic tank, shared with other household",1,"Shared, faucet, community water system",2,1,0,1,1,0,0,0,4,1,0,0,0
