Total Household Income,Region,Total Food Expenditure,Main Source of Income,Agricultural Household indicator,Bread and Cereals Expenditure,Total Rice Expenditure,Meat Expenditure,Total Fish and  marine products Expenditure,Fruit Expenditure,Vegetables Expenditure,Restaurant and hotels Expenditure,Alcoholic Beverages Expenditure,Tobacco Expenditure,"Clothing, Footwear and Other Wear Expenditure",Housing and water Expenditure,Imputed House Rental Value,Medical Care Expenditure,Transportation Expenditure,Communication Expenditure,Education Expenditure,Miscellaneous Goods and Services Expenditure,Special Occasions Expenditure,Crop Farming and Gardening expenses,Total Income from Entrepreneurial Acitivites,Household Head Sex,Household Head Age,Household Head Marital Status,Household Head Highest Grade Completed,Household Head Job or Business Indicator,Household Head Occupation,Household Head Class of Worker,Type of Household,Total Number of Family members,Members with age less than 5 year old,Members with age 5 - 17 years old,Total number of family members employed,Type of Building/House,Type of Roof,Type of Walls,House Floor Area,House Age,Number of bedrooms,Tenure Status,Toilet Facilities,Electricity,Main Source of Water Supply,Number of Television,Number of CD/VCD/DVD,Number of Component/Stereo set,Number of Refrigerator/Freezer,Number of Washing Machine,Number of Airconditioner,"Number of Car, Jeep, Van",Number of Landline/wireless telephones,Number of Cellular phone,Number of Personal Computer,Number of Stove with Oven/Gas Range,Number of Motorized Banca,Number of Motorcycle/Tricycle
147005,CAR,79530,Enterpreneurial Activities,1,36588,30167,11174,7674,1709,7920,2590,1268,910,5610,25668,15000,49,3678,1080,750,7134,1500,65660,94140,Male,49,Married,"Other Programs in Education at the Third Level, First Stage, of the Type that Leads to an Award not Equivalent to a First University or Baccalaureate Degree",With Job/Business,"General managers/managing proprietors in transportation, storage and communications",Employer in own family-operated farm or business,Single Family,4,1,1,1,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,40,9,2,Own or owner-like possession of house and lot,"Water-sealed, sewer septic tank, used exclusively by household",1,"Own use, faucet, community water system",1,1,0,1,0,0,0,0,1,0,0,0,1
253130,CAR,111250,Wage/Salaries,0,46521,39217,20548,15841,1475,7565,3320,2080,1820,8230,16398,6600,123,2940,5520,250,9858,5500,52260,89760,Male,35,Married,High School Graduate,With Job/Business,Farmhands and laborers,Worked for private establishment,Single Family,7,0,3,5,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Light,35,17,3,Own or owner-like possession of house and lot,"Water-sealed, sewer septic tank, used exclusively by household",1,"Own use, tubed/piped deep well",1,1,0,0,0,0,0,0,6,0,0,0,0
101111,CAR,88523,Enterpreneurial Activities,1,40531,36200,14322,8344,2200,6790,3850,1040,0,6140,11130,6000,89,480,1500,960,5148,0,49745,49745,Male,38,Married,Elementary Graduate,With Job/Business,Rice farmers,Employer in own family-operated farm or business,Single Family,7,1,4,2,Single house,"Light material (cogon,nipa,anahaw)",Light,35,5,1,Own or owner-like possession of house and lot,"Water-sealed, sewer septic tank, shared with other household",0,"Own use, tubed/piped deep well",0,0,0,0,0,0,0,0,1,0,0,0,0
128214,CAR,62262,Enterpreneurial Activities,1,26874,23130,10034,6971,2350,7770,300,0,0,2149,35154,18000,78,14628,1200,0,5130,2000,32475,58875,Male,53,Married,Humanities Programs,No Job/Business,NA,NA,Extended Family,3,0,1,0,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,50,43,3,Own or owner-like possession of house and lot,"Water-sealed, sewer septic tank, used exclusively by household",1,"Own use, faucet, community water system",1,0,0,0,1,0,0,0,1,0,0,0,1
91525,CAR,45487,Other sources of Income,1,19668,16142,5430,6670,1860,6410,0,0,0,395,24180,15000,77,960,0,0,2202,0,33540,33540,Male,75,Single,Elementary Graduate,No Job/Business,NA,NA,Single Family,2,0,0,0,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,35,77,1,Rent-free house and lot with consent of owner,Closed pit,1,"Own use, faucet, community water system",1,0,0,0,0,0,0,0,0,0,0,0,0
124580,XII - SOCCSKSARGEN,35106,Wage/Salaries,2,14156,9218,1900,4009,880,1242,6070,1300,2172,2010,14550,6000,854,8496,2040,0,14928,0,0,0,Female,62,Widowed,High School Graduate,With Job/Business,"Helpers and cleaners in offices, hotels and other establishments",Worked for government/government corporation,Single Family,2,0,0,1,Single house,Mixed but predominantly light materials,Very Light,20,33,1,Own or owner-like possession of house and lot,"Water-sealed, sewer septic tank, shared with other household",1,"Own use, faucet, community water system",1,0,0,0,0,0,0,0,1,0,0,0,0
593580,XII - SOCCSKSARGEN,64009,Wage/Salaries,2,15632,10819,9762,7523,7116,3318,7750,0,0,13420,103260,66000,6100,8364,7134,0,77142,0,0,0,Female,62,Widowed,Teacher Training and Education Sciences Programs,With Job/Business,General elementary education teaching professionals,Worked for government/government corporation,Single Family,2,0,0,2,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,120,28,2,Own or owner-like possession of house and lot,"Water-sealed, sewer septic tank, used exclusively by household",1,"Own use, faucet, community water system",1,1,1,1,1,2,0,1,2,2,1,0,0
331336,XII - SOCCSKSARGEN,90199,Wage/Salaries,2,19109,13769,14044,7754,2220,5614,25524,0,0,19331,85260,60000,1345,2352,2640,2625,38094,8000,0,0,Male,24,Married,Teacher Training and Education Sciences Programs,With Job/Business,General secondary education teaching professionals,Worked for government/government corporation,Extended Family,5,0,0,1,Single house,Mixed but predominantly strong materials,Quite Strong,46,15,3,Own or owner-like possession of house and lot,"Water-sealed, sewer septic tank, used exclusively by household",1,"Own use, faucet, community water system",1,1,1,1,1,0,0,0,4,1,1,0,0
261421,XII - SOCCSKSARGEN,61361,Wage/Salaries,2,19560,14078,5834,5674,1205,1665,5900,0,724,25520,58410,27000,950,18468,1134,17027,25974,0,0,36000,Male,39,Married,Transport Services Programs,No Job/Business,NA,NA,Single Family,6,1,3,1,Single house,Mixed but predominantly strong materials,Quite Strong,30,26,2,"Own house, rent-free lot with consent of owner","Water-sealed, sewer septic tank, used exclusively by household",1,"Own use, faucet, community water system",1,1,0,1,1,0,0,0,0,1,1,0,0
2176560,XII - SOCCSKSARGEN,209107,Enterpreneurial Activities,2,50182,22722,21932,24530,19000,4315,41450,1250,0,88143,1080696,1020000,10706,204888,41472,289098,272592,65500,0,1086000,Male,62,Married,"Other Programs of Education at the Third Level, First Stage, of the Type that Leads to a Baccalaureate or First University/Professional Degree (HIgher Education Level, First Stage, or Collegiate Education Level)",With Job/Business,General managers/managing proprietors in wholesale and retail trade,Employer in own family-operated farm or business,Single Family,5,0,3,0,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,450,1,4,Own or owner-like possession of house and lot,"Water-sealed, sewer septic tank, used exclusively by household",1,"Own use, faucet, community water system",3,3,2,1,2,4,3,1,8,5,1,0,2
211628,XII - SOCCSKSARGEN,99842,Wage/Salaries,2,23108,19182,4554,5494,2469,3845,37410,210,585,5459,51834,30000,913,9360,2952,22880,21828,0,0,8350,Male,48,Married,High School Graduate,With Job/Business,Heavy truck and lorry drivers,Worked for private establishment,Single Family,5,0,0,2,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,50,50,5,Own or owner-like possession of house and lot,Closed pit,1,"Own use, faucet, community water system",1,1,0,0,1,0,0,0,5,0,1,0,0
176710,XII - SOCCSKSARGEN,57026,Wage/Salaries,2,19937,12940,8503,9369,1889,2700,1775,0,0,6298,32016,12000,1182,5916,4200,0,11466,0,0,75710,Female,57,Widowed,Third Year College,With Job/Business,General managers/managing proprietors in wholesale and retail trade,Self-employed wihout any employee,Single Family,3,0,0,0,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Quite Strong,27,45,5,Own or owner-like possession of house and lot,Closed pit,1,"Own use, faucet, community water system",1,0,0,1,0,0,0,0,3,0,0,0,0
75416,XII - SOCCSKSARGEN,51970,Wage/Salaries,2,19375,16506,1462,4250,1094,2341,12930,0,0,1806,14700,9000,299,1488,1044,1030,4704,0,0,0,Female,70,Widowed,Elementary Graduate,With Job/Business,Domestic helpers and cleaners,Worked for private household,Extended Family,6,0,3,2,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Light,18,17,2,Own or owner-like possession of house and lot,Open pit,1,"Own use, faucet, community water system",1,0,0,0,0,0,0,0,3,0,0,0,0
42688,XII - SOCCSKSARGEN,13189,Other sources of Income,2,1976,980,948,2275,400,1036,785,0,0,1109,16410,12000,546,3234,900,0,8124,0,0,0,Female,60,Widowed,High School Graduate,With Job/Business,"Helpers and cleaners in offices, hotels and other establishments",Worked for government/government corporation,Single Family,1,0,0,1,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,11,36,2,Own or owner-like possession of house and lot,Closed pit,1,"Own use, faucet, community water system",1,0,0,0,0,0,0,0,1,0,0,0,0
167240,XII - SOCCSKSARGEN,70686,Enterpreneurial Activities,2,27025,21270,6905,8398,2149,3011,7390,15395,5430,8705,56184,36000,202,21672,2736,1165,5790,5300,0,121100,Male,50,Married,High School Graduate,With Job/Business,General managers/managing proprietors of business services,Self-employed wihout any employee,Single Family,3,0,1,0,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Light,60,45,4,Own or owner-like possession of house and lot,Open pit,1,"Own use, faucet, community water system",1,0,0,0,0,0,0,0,2,0,0,0,0
284555,XII - SOCCSKSARGEN,56374,Wage/Salaries,2,22683,20228,5170,7983,1949,4366,7100,360,2172,6064,47028,15000,2589,6072,1800,41110,17730,2650,0,36300,Male,50,Married,Engineering and Engineering Trades Programs,With Job/Business,Draftsmen,Worked for government/government corporation,Single Family,4,0,2,1,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,50,12,3,Own or owner-like possession of house and lot,"Water-sealed, sewer septic tank, used exclusively by household",1,"Own use, faucet, community water system",1,1,0,1,0,0,0,0,4,0,0,0,0
123820,XII - SOCCSKSARGEN,41039,Wage/Salaries,2,16430,9204,3226,9127,580,4574,750,240,260,1580,23004,10200,500,1200,504,0,6696,11000,0,0,Male,58,Married,First Year High School,With Job/Business,Carpenters and joiners,Worked for private establishment,Single Family,3,0,0,3,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,40,3,2,Rent-free house and lot with consent of owner,"Water-sealed, sewer septic tank, used exclusively by household",1,"Own use, faucet, community water system",2,1,0,1,0,0,0,0,1,0,0,0,0
126750,XII - SOCCSKSARGEN,23409,Wage/Salaries,2,11196,9786,2214,3719,445,2315,1010,0,0,1925,31860,9000,2180,660,7680,0,4062,22500,0,0,Female,47,Single,Second Year College,With Job/Business,Traditional chiefs and heads of villages,Worked for government/government corporation,Single Family,1,0,0,1,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,70,13,4,"Own house, rent lot","Water-sealed, sewer septic tank, used exclusively by household",1,"Own use, faucet, community water system",1,1,1,1,1,1,0,0,2,1,1,0,0
123418,XII - SOCCSKSARGEN,42330,Wage/Salaries,2,21142,18212,3246,5464,925,2579,835,525,806,4325,32172,6000,165,8166,3180,3145,4332,3500,0,45000,Male,36,Married,High School Graduate,With Job/Business,"Car, taxi and van drivers",Worked for private establishment,Single Family,4,0,2,1,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,20,9,2,"Own house, rent lot","Water-sealed, sewer septic tank, used exclusively by household",1,"Own use, faucet, community water system",1,1,0,1,0,0,0,0,3,0,0,0,0
124755,XII - SOCCSKSARGEN,75513,Wage/Salaries,2,34481,28598,3604,4479,777,3424,22360,610,520,3780,21486,4800,500,2280,1530,1080,9222,2000,0,30000,Male,42,Married,High School Graduate,With Job/Business,General managers/managing proprietors of business services,Self-employed wihout any employee,Extended Family,7,1,4,2,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,40,8,1,"Own house, rent lot",Open pit,1,"Own use, faucet, community water system",1,1,0,0,0,0,0,0,2,0,0,0,0
178558,XII - SOCCSKSARGEN,57970,Enterpreneurial Activities,2,21796,19602,3554,13826,1527,10330,1660,0,0,1375,59010,13200,160,942,3480,0,13074,15000,0,165358,Male,52,Married,Second Year College,With Job/Business,General managers/managing proprietors in wholesale and retail trade,Self-employed wihout any employee,Single Family,3,0,0,0,Single house,Mixed but predominantly strong materials,Strong,50,17,2,"Own house, rent lot","Water-sealed, sewer septic tank, used exclusively by household",1,"Own use, faucet, community water system",1,1,0,1,1,0,0,0,3,0,0,0,0
113500,XII - SOCCSKSARGEN,32756,Enterpreneurial Activities,2,16396,14299,803,2028,1318,2393,7060,0,996,1652,36498,12000,200,2160,2520,11500,4908,2500,0,89500,Male,35,Married,"Agriculture, Forestry, and Fishery Programs",With Job/Business,General managers/managing proprietors in wholesale and retail trade,Self-employed wihout any employee,Single Family,3,0,0,0,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,36,18,2,"Own house, rent lot","Water-sealed, sewer septic tank, used exclusively by household",1,"Own use, faucet, community water system",1,1,0,0,0,0,0,0,2,0,0,0,0
255700,XII - SOCCSKSARGEN,33321,Other sources of Income,2,8196,6006,2496,3860,856,2520,7520,0,0,2250,57054,30000,1139,1380,2520,830,15018,10000,0,28600,Female,44,Widowed,Third Year College,With Job/Business,General managers/managing proprietors in wholesale and retail trade,Self-employed wihout any employee,Extended Family,3,0,1,1,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,35,14,1,"Own house, rent lot","Water-sealed, sewer septic tank, used exclusively by household",1,"Own use, faucet, community water system",1,1,0,1,1,1,0,0,3,0,0,0,0
695292,XII - SOCCSKSARGEN,136459,Wage/Salaries,2,42972,35484,10892,17784,2400,11404,44670,0,3970,10307,73746,33000,2524,6432,11040,3115,84192,4500,0,0,Male,75,Married,First Year High School,No Job/Business,NA,NA,Extended Family,8,0,1,3,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,49,21,4,"Own house, rent lot","Water-sealed, sewer septic tank, used exclusively by household",1,"Own use, faucet, community water system",1,1,0,1,1,0,0,0,3,1,0,0,0
267330,XII - SOCCSKSARGEN,71609,Other sources of Income,2,22668,17370,5085,12217,4804,5345,5600,0,0,2049,47898,25200,41870,27000,3240,0,33060,18500,0,45000,Female,53,Widowed,Business and Administration Programs,With Job/Business,General managers/managing proprietors of business services,Self-employed wihout any employee,Extended Family,2,0,0,1,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,35,25,2,"Own house, rent lot","Water-sealed, sewer septic tank, used exclusively by household",1,"Own use, faucet, community water system",1,1,0,0,0,0,0,0,2,0,0,0,0
299856,XII - SOCCSKSARGEN,92326,Wage/Salaries,2,24887,21336,3181,8003,1240,6130,27580,0,0,8571,43008,0,2120,2712,5550,16850,33978,13000,0,0,Male,54,Married,Business and Administration Programs,With Job/Business,Finance and administration managers,Worked for government/government corporation,Single Family,5,0,3,2,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Very Light,30,10,2,Rent house/room including lot,"Water-sealed, sewer septic tank, used exclusively by household",1,"Own use, faucet, community water system",1,0,0,1,0,0,0,0,3,0,0,0,0
252448,XII - SOCCSKSARGEN,91590,Other sources of Income,2,27537,23820,7760,9823,6721,5693,9130,0,0,3336,73590,36000,200,1896,6540,7350,7206,8000,0,65400,Male,63,Married,Business and Administration Programs,With Job/Business,General managers/managing proprietors in wholesale and retail trade,Self-employed wihout any employee,Single Family,4,0,1,1,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,60,28,3,Own or owner-like possession of house and lot,"Water-sealed, sewer septic tank, used exclusively by household",1,"Own use, faucet, community water system",1,1,1,1,1,0,0,1,4,1,0,0,0
107150,XII - SOCCSKSARGEN,64526,Wage/Salaries,2,36724,33404,2245,5998,925,5630,910,0,0,880,10380,4800,574,6900,1200,260,2382,0,0,6200,Male,54,Married,No Grade Completed,With Job/Business,Hand or pedal vehicle drivers,Worked for private establishment,Extended Family,7,2,1,3,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Light,30,20,1,"Own house, rent-free lot without consent of owner","Water-sealed, sewer septic tank, shared with other household",1,Peddler,0,0,0,0,0,0,0,0,2,0,0,0,0
123700,XII - SOCCSKSARGEN,70580,Wage/Salaries,2,34024,28676,1475,8283,1500,8394,5400,0,0,1080,20340,7200,1375,6900,3900,2600,4134,1000,0,41900,Male,53,Married,Third Year High School,With Job/Business,Social work associate professionals,Worked for government/government corporation,Extended Family,5,0,2,1,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Light,40,18,2,"Own house, rent-free lot without consent of owner","Water-sealed, sewer septic tank, shared with other household",1,Peddler,1,0,0,0,0,0,0,0,2,0,0,0,0
99500,XII - SOCCSKSARGEN,66595,Other sources of Income,2,33240,28312,1545,5710,1727,8574,3400,0,0,834,15780,5400,195,6420,2400,3200,3786,0,0,16500,Female,78,Widowed,High School Graduate,With Job/Business,General managers/managing proprietors in wholesale and retail trade,Self-employed wihout any employee,Extended Family,6,1,2,0,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Very Light,50,11,2,"Own house, rent-free lot with consent of owner",Others,1,Peddler,0,0,0,0,0,0,0,0,2,0,0,0,0
156700,XII - SOCCSKSARGEN,122985,Wage/Salaries,2,55041,45738,5160,19000,2360,7801,5620,0,0,3169,31620,13200,5530,16206,6900,1365,7434,1500,0,45900,Male,35,Married,Elementary Graduate,With Job/Business,"Hairdressers, barbers, beauticians and related workers",Worked for private establishment,Extended Family,11,2,4,1,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Quite Strong,60,11,4,Own or owner-like possession of house and lot,"Water-sealed, sewer septic tank, used exclusively by household",1,"Own use, faucet, community water system",1,0,0,0,0,0,0,0,3,0,0,0,0
103300,XII - SOCCSKSARGEN,68612,Wage/Salaries,2,23438,18504,2206,8543,2718,10700,6700,0,0,1505,20202,6600,205,10512,3900,7710,7098,0,0,9600,Male,52,Married,Second Year High School,With Job/Business,Teaching associate professionals,Worked for government/government corporation,Single Family,3,0,0,1,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Quite Strong,40,1,1,"Own house, rent-free lot with consent of owner","Water-sealed, sewer septic tank, shared with other household",1,Peddler,0,0,0,0,0,0,0,0,2,0,0,0,0
95500,XII - SOCCSKSARGEN,73138,Wage/Salaries,2,29676,25296,1445,11415,2002,9586,2740,0,0,1098,17400,6000,114,3660,2400,0,3084,0,0,13300,Female,81,Widowed,No Grade Completed,No Job/Business,NA,NA,Extended Family,5,0,1,1,Single house,Mixed but predominantly strong materials,Quite Strong,40,30,1,"Own house, rent-free lot with consent of owner","Water-sealed, sewer septic tank, shared with other household",1,"Own use, faucet, community water system",0,0,0,0,0,0,0,0,2,0,0,0,0
80600,XII - SOCCSKSARGEN,60945,Wage/Salaries,2,20692,17887,1515,10655,1917,7779,2550,0,0,770,12690,6000,611,3042,1200,0,2778,1700,0,0,Male,25,Married,High School Graduate,With Job/Business,Motorcycle drivers,Worked for private establishment,Single Family,4,2,0,1,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Quite Strong,30,1,1,"Own house, rent-free lot with consent of owner","Water-sealed, sewer septic tank, shared with other household",1,Peddler,0,0,0,0,0,0,0,0,2,0,0,0,0
257600,XII - SOCCSKSARGEN,127422,Wage/Salaries,2,35120,27327,5273,11487,6372,11987,15700,0,0,2700,73140,48000,722,9696,4200,4675,10824,0,0,8100,Male,36,Married,Post Baccalaureate,With Job/Business,Directors and chief executives of corporations,Worked for private establishment,Single Family,5,1,2,1,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,120,9,3,Own or owner-like possession of house and lot,"Water-sealed, sewer septic tank, used exclusively by household",1,"Own use, faucet, community water system",1,0,0,1,0,1,0,0,2,1,1,0,1
382800,XII - SOCCSKSARGEN,145253,Wage/Salaries,2,46354,37564,9928,20465,2876,12408,15000,0,240,3340,62700,39000,2937,42942,10500,1160,28794,14500,18500,18500,Male,61,Married,Social and Behavioral Science Programs,With Job/Business,Accounting and bookkeeping clerks,Worked for government/government corporation,Extended Family,6,0,2,2,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,60,10,4,Own or owner-like possession of house and lot,"Water-sealed, sewer septic tank, used exclusively by household",1,"Own use, faucet, community water system",1,0,0,1,1,1,0,0,4,1,1,0,1
153500,XII - SOCCSKSARGEN,70991,Other sources of Income,2,20025,14547,4532,8739,2837,9561,8300,0,0,1639,44238,30000,3009,16476,3300,14445,4878,500,0,0,Female,53,Divorced/Separated,First Year College,No Job/Business,NA,NA,Extended Family,4,0,0,0,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,60,11,3,"Own house, rent-free lot with consent of owner","Water-sealed, sewer septic tank, used exclusively by household",1,"Own use, faucet, community water system",1,0,0,0,0,0,0,0,4,1,1,0,0
